t	p
778.265	1.282e-08
780.265	1.2813e-08
782.265	1.287e-08
784.265	1.2937e-08
786.265	1.2889e-08
788.281	1.2834e-08
790.281	1.2837e-08
792.281	1.2924e-08
794.265	1.2857e-08
796.281	1.2952e-08
798.281	1.2843e-08
800.281	1.2901e-08
802.281	1.2862e-08
804.281	1.296e-08
806.297	1.288e-08
808.328	1.2925e-08
810.328	1.2863e-08
812.343	1.287e-08
814.359	1.2923e-08
816.359	1.2976e-08
818.359	1.2788e-08
820.359	1.2827e-08
822.359	1.2971e-08
824.359	1.289e-08
826.359	1.2895e-08
828.359	1.2915e-08
830.359	1.2853e-08
832.343	1.2902e-08
834.359	1.2992e-08
836.359	1.2884e-08
838.359	1.2955e-08
840.375	1.2968e-08
842.39	1.2931e-08
844.39	1.288e-08
846.39	1.2957e-08
848.39	1.2807e-08
850.593	1.2859e-08
853.437	1.2951e-08
855.468	1.2975e-08
857.5	1.2977e-08
859.515	1.3001e-08
861.531	1.2843e-08
863.531	1.287e-08
865.531	1.2843e-08
867.562	1.2852e-08
869.578	1.2875e-08
871.578	1.3007e-08
873.578	1.2989e-08
875.578	1.2977e-08
877.609	1.2958e-08
879.609	1.289e-08
881.625	1.293e-08
883.625	1.2932e-08
885.64	1.2887e-08
887.64	1.2958e-08
889.656	1.3078e-08
891.687	1.2929e-08
893.672	1.29e-08
895.687	1.2939e-08
897.687	1.2861e-08
899.718	1.2892e-08
901.718	1.2867e-08
903.781	1.3e-08
905.781	1.2959e-08
907.781	1.3011e-08
909.765	1.3009e-08
911.765	1.2995e-08
913.797	1.3008e-08
915.797	1.2951e-08
917.797	1.2997e-08
919.797	1.2953e-08
921.797	1.301e-08
923.828	1.2977e-08
925.828	1.2948e-08
927.859	1.2919e-08
929.875	1.2871e-08
931.859	1.29e-08
933.875	1.2877e-08
935.875	1.2923e-08
937.875	1.2849e-08
939.89	1.2787e-08
941.906	1.2849e-08
943.922	1.2887e-08
945.937	1.2874e-08
947.953	1.2891e-08
949.984	1.2898e-08
952	1.2945e-08
954.015	1.2853e-08
956.031	1.2848e-08
958.047	1.2816e-08
960.047	1.2796e-08
962.203	1.2776e-08
965.047	1.2812e-08
967.062	1.2874e-08
969.062	1.2731e-08
971.062	1.2659e-08
973.062	1.2664e-08
975.093	1.272e-08
977.093	1.2653e-08
979.093	1.2758e-08
981.078	1.2712e-08
983.093	1.2671e-08
985.14	1.2557e-08
987.156	1.2623e-08
989.172	1.2591e-08
991.203	1.2522e-08
993.203	1.2568e-08
995.203	1.2529e-08
997.218	1.2558e-08
999.234	1.2504e-08
1001.28	1.2583e-08
1003.28	1.2453e-08
1005.28	1.2436e-08
1007.3	1.2446e-08
1009.31	1.2427e-08
1011.31	1.2336e-08
1013.31	1.238e-08
1015.31	1.2466e-08
1017.34	1.2384e-08
1019.34	1.2479e-08
